"ID","ANO","Distribuição","Governo","Outros","Pessoal","Receitas","RCT","RCP","VAB","VALP","VATD"
643,2010,29.9402693561028,29.9611364006237,30.0001965577771,29.9446640389717,29.8987238623553,29.8790104772351,29.9662079734908,29.9328087984181,29.9460869730345,29.9402611721714
88,2010,29.9018959063839,29.9249988969547,30.0139614599263,29.9108499500406,29.8774515380995,29.8911740914446,29.9022596719599,29.8868857225562,29.9021757281581,29.9018876828384
660,2010,29.9072988042426,29.9245960666947,30.0149172492835,29.9077563791323,29.8716201460347,29.847649272627,29.9502510792342,29.891696346331,29.9077705337605,29.9072905862747
497,2010,29.9078976359495,29.9248970218625,30.0149172492835,29.9077157434023,29.8721021396786,29.847772811177,29.9521628217248,29.8922448905386,29.9083648990242,29.9078894185997
618,2010,29.9073726401733,29.9245916634491,30.0149172492835,29.9077157434023,29.871639161008,29.8465393559671,29.951164485391,29.8918440383708,29.9079444919774,29.9073644222815
498,2010,29.9099004792461,29.9263593664253,30.0149172492835,29.9077157434023,29.8724252974917,29.8516366080134,29.9559136333744,29.8918457212095,29.909403449796,29.9098922639639
495,2010,29.907350599597,29.9245885278044,30.0149172492835,29.9077157434023,29.8716607048622,29.8465387125372,29.9510809652936,29.8918189487763,29.9079181784305,29.9073423816825
400,2010,29.9069966601959,29.9246940055522,30.0149172492835,29.9077157434023,29.8718683771143,29.8625684828262,29.9413744114214,29.8914160466051,29.9074956213744,29.9069884419161
630,2010,29.9050719265515,29.9250704163384,30.0149172492835,29.9077157434023,29.8722584189905,29.8465393559671,29.9411017237266,29.8897639580014,29.9057629384884,29.9050637062847
243,2010,29.9152006465162,29.9267696021439,30.0149172492835,29.9081112144558,29.8845054851597,29.8869446119212,29.9583217238727,29.9005244261267,29.9168914830103,29.9151924367055
458,2010,29.9100776370978,29.928785087761,30.0149172492835,29.9078697462497,29.8743906663389,29.8466564602176,29.9550253917145,29.8955191744121,29.9108411321492,29.9100694219986
303,2010,29.9081691382194,29.9247298986758,30.0149172492835,29.9077440851816,29.872116718746,29.8569028676594,29.948880048024,29.8924811304887,29.9085332094555,29.9081609211499
461,2010,29.9282021674517,29.9622278718152,30.0149172492835,29.9091109660298,29.8920124750141,29.8544537588015,29.9684161580936,29.9111402007247,29.9324434310404,29.9281939710629
242,2010,29.9150595061915,29.9297177752462,30.0149172492835,29.9089563062538,29.8858184165543,29.849514361569,29.9709118904604,29.9005089440111,29.9160523375807,29.9150512962352
565,2010,29.9072335426337,29.9247167556547,30.0149172492835,29.9079268051962,29.8736074180306,29.8499147894732,29.9484487806116,29.89156744089,29.9076285689658,29.9072253245984
326,2010,29.9303346200884,29.9356584207707,30.0149172492835,29.9106506191156,29.8979589933454,29.9375750421288,29.9764019810227,29.9222985531023,29.9337587874901,29.9303264259011
99,2010,29.926937199644,29.9306096326355,30.0149172492835,29.9155964473051,29.9370791087316,29.9580925218269,29.9548075886552,29.9118806191361,29.9271689768272,29.9269290019493
255,2010,29.924877373394,29.9344681434156,30.0149172492835,29.909957559379,29.8900421727763,29.9319660487973,29.9599524266587,29.9087043988606,29.9255959401557,29.9248691735729
94,2010,29.9147488953381,29.9312550417007,30.0149172492835,29.9081945505487,29.8755512844807,29.8468634301841,29.9693802186471,29.899294974802,29.9157349384433,29.9147406850611
463,2010,29.9943973022535,29.9927438985526,30.0149172492835,29.9933554974255,30.4803498583688,29.9620161576485,30.0341624195407,29.9978994065665,30.0018319654906,29.9943891741999
646,2010,30.0644112625673,30.1119887941245,30.0149172492835,29.9301826097373,30.020985317884,30.0539204742396,30.1493653778682,30.0836302144073,30.0777101907666,30.0644032067912
198,2010,29.9101696161858,29.9262721688185,30.0149172492835,29.9086682899597,29.8779586409051,29.8515926403003,29.9560627764056,29.8948564419525,29.9110827675253,29.9101614011815
139,2010,29.9185477230589,29.9433097272255,30.0149172492835,29.9146235359592,29.9150706590303,29.8523744076869,29.9548938204441,29.9042980235279,29.9208302359096,29.9185395167036
435,2010,29.9096757460039,29.9267542575,30.0149172492835,29.9088745655591,29.8788304276828,29.8510337141524,29.9533302591391,29.8936824019152,29.9098258784933,29.9096675304898
343,2010,30.0440492374154,30.1745362312573,30.0149172492835,29.9294649620994,30.0040558559949,29.9605602901533,30.0135496594875,30.0529121977394,30.0655596858433,30.0440411606191
325,2010,29.9299724020319,29.9355733580708,30.0149172492835,29.9110435563014,29.8911219358245,29.8877759234137,29.999809410311,29.9160252059681,29.9331447512455,29.9299642074706
480,2010,30.0774866463122,30.0434341290559,30.0149172492835,29.98152740305,30.3030304923521,30.2479583567317,30.1561125001311,30.0929347823191,30.0672976956181,30.0774786040342
466,2010,29.9114445828891,29.9257846094378,30.0149172492835,29.9123846292379,29.8973009315511,29.8662012883114,29.9503171360386,29.8973442588296,29.9121290519127,29.911436369201
648,2010,30.1296216674255,30.2113182766855,30.0149172492835,29.9549717188864,30.1289877406566,30.1158340920115,30.1910640339033,30.2150567313092,30.1508653169218,30.1296136789681
346,2010,30.1408461803354,30.3036475327034,30.0149172492835,29.9544618483991,30.1261998360236,30.0495159817704,30.1203780467958,30.163717913489,30.1699597422524,30.1408382034654
339,2010,29.9687573116803,30.021469205348,30.0149172492835,29.9197181115667,29.936819172941,29.9193387360721,29.9906845684944,29.9615642580488,29.9749836759423,29.9687491571578
580,2010,29.9246147142334,29.9250888299111,30.0149172492835,29.9106404836449,29.8872965405295,29.9026818360607,29.9881621530834,29.9121053545893,29.9260336756358,29.9246065141412
