ID,ANO,Distribuição,Governo,Outros,Pessoal,Receitas,RCT,RCP,VAB,VALP,VATD
348,2021,3.52762180188019,3.4809143603497,3.40169449972128,3.4288335694848,3.53059002118051,3.30024396579065,3.79474882284633,3.57481276418502,3.56843897024151,3.52762168588974
442,2015,3.40310880175062,3.40065397072443,2.99509204207049,3.41723070089774,3.41838392164315,3.422801758701,3.39956820478695,3.40553384702859,3.40367517297109,3.4031085334966
441,2015,3.40318359828287,3.40057525354177,3.03021851081883,3.4172406320111,3.41838416750536,3.42100546571415,3.39956820478695,3.40565124082334,3.40379853510804,3.40318333012612
650,2015,3.41631877292699,3.42522749827484,3.14369506806372,3.41015622951053,3.41698561606158,3.45251672521189,3.39956820478695,3.42466839932928,3.41898017230716,3.41631852174067
442,2016,3.40391381991677,3.40377496745898,3.17128746494037,3.41578851613907,3.41623327270337,3.40840770159419,3.39956820478695,3.40649385386901,3.40476055695944,3.40391355270932
441,2016,3.40389534873798,3.40375272817393,3.19082417717227,3.41578851613907,3.41623231935356,3.40659121544546,3.39956820478695,3.40650105182427,3.40476813087356,3.40389508150653
348,2022,3.49329696312827,3.45760492876015,3.28424576489046,3.42873010339055,3.50185177701993,3.3153300192693,3.67213194108435,3.52091534606787,3.51145731894863,3.49329680703763
610,2012,3.40013931043342,3.40042321767031,3.29994864014549,3.40219575417787,3.40085990340593,3.40816670734696,3.39956820478695,3.40005482073562,3.40015595363583,3.40013903831159
650,2013,3.40501760828941,3.4103263601408,3.31742984075123,3.40100852350838,3.40521394244484,3.41602401142409,3.39956820478695,3.40790106536204,3.40612374501737,3.40501734251559
650,2014,3.40754320241682,3.41105011472012,3.32997191488338,3.40114219351817,3.40543740346246,3.43196044150894,3.39956820478695,3.40914184978561,3.40726964162027,3.40754293991734
610,2011,3.40065641304229,3.39933867255992,3.3524455438382,3.40300101763134,3.40054409706259,3.408483134793,3.39956820478695,3.40040027113321,3.40065842476428,3.40065614159481
581,2014,3.3981806692179,3.39908777733672,3.36115330140236,3.39844345046925,3.39778873976259,3.39857512855287,3.39981958022116,3.39783655439244,3.39816529927911,3.39818039453861
442,2017,3.40580360306682,3.40379196711355,3.37060956843453,3.41319802152941,3.41623215010098,3.40988887127995,3.39956820478695,3.40786505652767,3.40667290753127,3.4058033383129
441,2017,3.40579145076896,3.40378948505779,3.37408580044055,3.41319802152941,3.41623211788399,3.40942596705955,3.39956820478695,3.40787178061211,3.4066799797514,3.40579118599927
194,2016,3.3981750615306,3.39858982252465,3.37457874505078,3.39828105466541,3.39750351653398,3.39834266501619,3.40017565092513,3.39748598819501,3.39800206712838,3.39817478684398
387,2020,3.3990274697935,3.39948624653812,3.37500794320684,3.39887072477988,3.39809081703257,3.39612106750171,3.4025675926185,3.39890141885729,3.39915797594983,3.39902719622052
353,2016,3.39784392307117,3.39868171629242,3.38207837483151,3.3981212996773,3.39690950675817,3.39614234385357,3.39957200371631,3.39758277177956,3.39812110428966,3.39784364795167
581,2013,3.39832289895038,3.39896979721027,3.3922553350846,3.39837545361215,3.39736044991919,3.39750619671757,3.39948470799059,3.39798452290303,3.3983473277968,3.39832262445697
605,2016,3.39974287974755,3.39954697320659,3.39510411754733,3.39893286255514,3.39898094587971,3.40335770654785,3.40050779180464,3.39967309710769,3.39966037872506,3.39974260710849
218,2012,3.39818913910263,3.39871290153414,3.39587795033726,3.39831614551056,3.39697116104958,3.39608892577129,3.39994255992453,3.39768171785492,3.39822364534713,3.39818886443441
304,2017,3.39885879226123,3.39943080720531,3.39703060762992,3.39838409934473,3.39770004988871,3.39731288729443,3.40071428702934,3.39856247748722,3.39892578522127,3.39885851846795
304,2019,3.39885171375786,3.39938171657012,3.39741784957462,3.39831520433275,3.39765288285436,3.39755403569519,3.40070155754389,3.39858639565387,3.39893609330358,3.39885143995533
114,2022,3.3982031886185,3.39878186544221,3.39760155880934,3.39825583618362,3.39699239532155,3.39666714655483,3.39956820478695,3.39767778762963,3.39821587472241,3.39820291396864
304,2015,3.39883701595939,3.39942370274653,3.39769388227037,3.39835602867473,3.39757913286969,3.3976653832285,3.40045538973895,3.39862305406788,3.3989545854046,3.39883674213767
393,2018,3.39831413727275,3.39858061395403,3.39785937545734,3.39852600290433,3.39732772545423,3.39755440881156,3.39956820478695,3.39782574790909,3.39834069843131,3.39831386276789
304,2018,3.39887809848527,3.39936392215142,3.39791322866016,3.39831912590111,3.3976061301197,3.39774485937314,3.40070808327932,3.39859687488244,3.39895569176794,3.39887782471721
304,2016,3.39908173318863,3.399584098839,3.39824854241019,3.39837470698878,3.39762869060377,3.39778141713956,3.40106940654474,3.39882029007918,3.39919626134418,3.39908145968651
475,2014,3.3982776853179,3.39898709939641,3.39838873119035,3.39842444406283,3.39713360166002,3.39612706746439,3.39956820478695,3.39781607518877,3.39832208984648,3.39827741076541
605,2015,3.39951040431286,3.39945270840359,3.3988605449886,3.39894055660986,3.39878016023921,3.40216248160351,3.40010889822985,3.39936378345125,3.39942593543335,3.39951013137039
224,2020,3.39812300379659,3.39871554782066,3.39913124352916,3.39821640083348,3.39702002963766,3.39615890618494,3.39956820478695,3.39760559360296,3.39814280021681,3.39812272904193
19,2016,3.40329630875866,3.40185550299351,3.399437181868,3.39933053063714,3.40133057482788,3.41449327003359,3.40471680637298,3.4013000668499,3.40135944918435,3.40329604074849
581,2019,3.39837967053278,3.39870199974079,3.3997718569573,3.39857112187141,3.39745294279772,3.39876579333327,3.3988630488738,3.39829993110411,3.39843716531109,3.39837939611356
