SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
,,,,,0.10492774896886,1,,,,,,,,
,,,,,0.104971244115592,1,,,,,,,,
,,,,,0.105944354435866,1,,,,,,,,
,,,,,0.106161703539561,1,,,,,,,,
,,,,,0.10712915930646,1,,,,,,,,
,,,,,0.107331232731259,1,,,,,,,,
,,,,,0.107643802524625,1,,,,,,,,
,,,,,0.10767757518883,1,,,,,,,,
,,,,,0.107769681226997,1,,,,,,,,
,,,,,0.108709040572353,1,,,,,,,,
,,,,,0.109221754983459,1,,,,,,,,
,,,,,0.109889403963406,1,,,,,,,,
,,,,,0.110306771792204,1,,,,,,,,
,,,,,0.110553055806741,1,,,,,,,,
,,,,,0.11099360896652,1,,,,,,,,
,,,,,0.111161744997573,1,,,,,,,,
,,,,,0.111293518754085,1,,,,,,,,
,,,,,0.111486173101578,1,,,,,,,,
,,,,,0.111823048443595,1,,,,,,,,
,,,,,0.112217432659422,1,,,,,,,,
,,,,,0.113262747283366,1,,,,,,,,
,,,,,0.11343835364074,1,,,,,,,,
,,,,,0.113742315285165,1,,,,,,,,
,,,,,0.113766251531075,1,,,,,,,,
,,,,,0.113861322747935,1,,,,,,,,
,,,,,0.115136943256229,1,,,,,,,,
,,,,,0.116108301425582,1,,,,,,,,
,,,,,0.116357090985209,1,,,,,,,,
,,,,,0.116433297884911,1,,,,,,,,
,,,,,0.116966642333302,1,,,,,,,,
,,,,,0.117135852044542,1,,,,,,,,
,,,,,0.117512974962627,1,,,,,,,,
,,,,,0.11834365926015,1,,,,,,,,
,,,,,0.11895409614497,1,,,,,,,,
,,,,,0.119389239212752,1,,,,,,,,
,,,,,0.11953792740515,1,,,,,,,,
,,,,,0.119555787070783,1,,,,,,,,
,,,,,0.119927469317171,1,,,,,,,,
,,,,,0.120278262274309,1,,,,,,,,
,,,,,0.1207353462313,1,,,,,,,,
,,,,,0.120907337388249,1,,,,,,,,
,,,,,0.121383815063064,1,,,,,,,,
,,,,,0.121698304837133,1,,,,,,,,
,,,,,0.121999711833888,1,,,,,,,,
,,,,,0.1220269876711,1,,,,,,,,
,,,,,0.122049540725262,1,,,,,,,,
,,,,,0.122197875704033,1,,,,,,,,
,,,,,0.123045110326973,1,,,,,,,,
,,,,,0.123095806071644,1,,,,,,,,
,,,,,0.123647067390591,1,,,,,,,,
,,,,,0.123822593687839,1,,,,,,,,
,,,,,0.123887194720052,1,,,,,,,,
,,,,,0.124504972504554,1,,,,,,,,
,,,,,0.124588734038391,1,,,,,,,,
,,,,,0.125996062365981,1,,,,,,,,
,,,,,0.126215717546987,1,,,,,,,,
,,,,,0.127113683078126,1,,,,,,,,
,,,,,0.127449185130928,1,,,,,,,,
,,,,,0.128332220063153,1,,,,,,,,
,,,,,0.128456260096941,1,,,,,,,,
,,,,,0.128823672013165,1,,,,,,,,
,,,,,0.128891716307135,1,,,,,,,,
,,,,,0.129101629732339,1,,,,,,,,
,,,,,0.130200437575981,1,,,,,,,,
,,,,,0.130931249762643,1,,,,,,,,
,,,,,0.13098275844816,1,,,,,,,,
,,,,,0.131142528557343,1,,,,,,,,
,,,,,0.131703927628759,1,,,,,,,,
,,,,,0.1317352757524,1,,,,,,,,
,,,,,0.132093291968437,1,,,,,,,,
,,,,,0.132286034556214,1,,,,,,,,
,,,,,0.132510830469519,1,,,,,,,,
,,,,,0.132991575387334,1,,,,,,,,
,,,,,0.133114903482147,1,,,,,,,,
,,,,,0.133189640859967,1,,,,,,,,
,,,,,0.134080305577398,1,,,,,,,,
,,,,,0.134323940462615,1,,,,,,,,
,,,,,0.134763256100837,1,,,,,,,,
,,,,,0.134850651108177,1,,,,,,,,
,,,,,0.135209682385999,1,,,,,,,,
,,,,,0.135576493979095,1,,,,,,,,
,,,,,0.135604382804895,1,,,,,,,,
,,,,,0.135750625018199,1,,,,,,,,
,,,,,0.135852199591126,1,,,,,,,,
,,,,,0.136350263505819,1,,,,,,,,
,,,,,0.136490753270185,1,,,,,,,,
,,,,,0.137202269165512,1,,,,,,,,
,,,,,0.137463168841965,1,,,,,,,,
,,,,,0.137628123287177,1,,,,,,,,
,,,,,0.137924632785271,1,,,,,,,,
,,,,,0.137924920401899,1,,,,,,,,
,,,,,0.138057074457956,1,,,,,,,,
,,,,,0.138165798958751,1,,,,,,,,
,,,,,0.138244888043963,1,,,,,,,,
