ANO,CD_CONTA,DS_CONTA,VALOR,PERCENTUAL
2019,4.0.0,VATD,1342280508.72,37.6664198886155
2019,5.0.0,Distribuição,1342280508.72,37.6664198886155
2019,5.1.0,Pessoal,334414821.08,24.9139296076718
2019,5.2.0,Governo,464789762.18,34.6268726365716
2019,5.3.0,RCT,271813499.86,20.250126415022
2019,5.4.0,RCP,235838907.6,17.5700165552502
2019,5.5.0,Outros,35423518,2.63905478548444
2020,1.0.0,Receitas,3856733069.36,100
2020,2.0.0,VAB,1479778498.24,38.368704072267
2020,3.0.0,VALP,1212776041.37,31.4456826427776
2020,4.0.0,VATD,1389439242.51,36.0263263628086
2020,5.0.0,Distribuição,1389439242.51,36.0263263628086
2020,5.1.0,Pessoal,344498767.79,24.7940865098692
2020,5.2.0,Governo,453863578.4,32.6652338953737
2020,5.3.0,RCT,410999302.54,29.5802284810624
2020,5.4.0,RCP,167836564.78,12.0794461279794
2020,5.5.0,Outros,12241029,0.881004985715444
2021,1.0.0,Receitas,5135480287.86,100
2021,2.0.0,VAB,2211486470.45,43.0628947340687
2021,3.0.0,VALP,1924449757.9,37.4736081150831
2021,4.0.0,VATD,2098443670.23,40.8616828924572
2021,5.0.0,Distribuição,2098443670.23,40.8616828924572
2021,5.1.0,Pessoal,409025895.44,19.4918692001472
2021,5.2.0,Governo,711893181.62,33.9248173167294
2021,5.3.0,RCT,357832945.24,17.0523016803582
2021,5.4.0,RCP,609439288.93,29.0424421477657
2021,5.5.0,Outros,10252359,0.488569654999426
2022,1.0.0,Receitas,6233776792.32,100
2022,2.0.0,VAB,2347951473.67,37.6649910943663
2022,3.0.0,VALP,1999660248.37,32.0778288185355
2022,4.0.0,VATD,2268080687.73,36.3837327400665
2022,5.0.0,Distribuição,2268080687.73,36.3837327400665
2022,5.1.0,Pessoal,460905001.03,20.3213670273475
2022,5.2.0,Governo,759665542.36,33.4937617726602
2022,5.3.0,RCT,441625660.14,19.4713381463514
2022,5.4.0,RCP,585151921.2,25.7994314031944
2022,5.5.0,Outros,20732563,0.914101650446577
2023,1.0.0,Receitas,6144326439.57,100
2023,2.0.0,VAB,2233761761.44,36.3548679161052
2023,3.0.0,VALP,1870483107.96,30.4424435510771
2023,4.0.0,VATD,2135855794.32,34.7614309774445
2023,5.0.0,Distribuição,2163021926.32,35.2035645826034
2023,5.1.0,Pessoal,483670931.1,22.3608889588503
2023,5.2.0,Governo,683427641.16,31.5959645551412
2023,5.3.0,RCT,466547189.73,21.5692307162021
2023,5.4.0,RCP,482408027.18,22.3025028692489
2023,5.5.0,Outros,46968137.14,2.17141290009519
