,ANO,CNPJ_CIA,SETOR_ECON,Distribuição,Pessoal,Governo,RCT,RCP
1,2009,00.000.000/0001-91,Terciário,0.442117342265914,32.2835638823509,29.4285857653235,1.39462670572465,36.893223646601
2,2009,00.001.180/0001-26,Secundário,0.571062255807418,30.7665643921058,11.2843615775973,49.8523847390483,8.09668929124856
3,2009,00.070.698/0001-11,Secundário,0.496680614847868,12.8263316217442,65.4456154240959,13.5356706383821,8.19238231577785
4,2009,00.095.147/0001-02,Secundário,0.512950753986457,5.97072601824674,59.7768440933095,13.0014425932736,21.2509872951703
5,2009,00.108.786/0001-65,Terciário,0.489040391203304,21.1461701083723,43.2021538938571,9.54227626902954,26.1093997287411
6,2009,00.622.416/0001-41,Secundário,0.376398594336955,27.1771207812416,8.5381230884799,57.9760691098353,6.3086870204432
7,2009,00.743.065/0001-27,Primário,0.308057414594031,25.914971630961,27.7358944260363,11.3523299536651,34.9968039893377
8,2009,00.776.574/0001-56,Terciário,0.166619845939517,10.0868927468061,20.5182960033197,60.8454638070962,8.54934744277803
9,2009,00.864.214/0001-06,Secundário,0.6487376434558,9.39044161036899,44.9171442431472,24.0493795530766,13.1789583547709
10,2009,00.924.429/0001-75,Terciário,0.175830188006404,65.4167000240173,30.6236490272997,1.70896378726016,2.25068716142289
11,2009,01.027.058/0001-91,Terciário,0.76079538961357,6.92953400754736,31.6769336648202,2.61973225589886,58.7738000717336
12,2009,01.083.200/0001-18,Secundário,0.555929378477709,4.90031326818347,55.807707448807,9.95476012479435,6.80093621408412
13,2009,01.109.184/0001-95,Terciário,0.469331603017239,29.129799000319,17.1477188131447,22.3101669679889,31.4123152185473
14,2009,01.386.256/0001-41,Terciário,0.805366847183726,22.6759517191879,34.8574955248437,2.18814989562534,40.278402860343
15,2009,01.545.826/0001-07,Secundário,0.277901223576098,33.3962648432548,21.0726733076573,33.8898767228931,11.6411851261948
16,2009,01.547.749/0001-16,Secundário,0.520309165762489,5.84074112714862,57.3824210125132,9.8176777817286,20.4874984829548
17,2009,01.608.571/0001-76,Terciário,0,0,4.22885572139304,0,95.771144278607
18,2009,01.772.313/0001-20,Sem Setor Principal,0,0,4.15986949429038,0,95.8401305057096
19,2009,01.832.635/0001-18,Terciário,0.696983545589887,23.6319559794546,28.2285142925616,30.6218564320246,17.5176732959592
20,2009,01.838.723/0001-27,Secundário,0.349037723117517,34.4848752863948,41.7119410062307,21.9275053830992,1.8756783242753
21,2009,01.917.705/0001-30,Secundário,0.49886753846252,9.86407630389386,55.5809510699667,17.2971217322901,17.2578508938494
22,2009,01.938.783/0001-11,Sem Setor Principal,0.735191958600883,65.1500633863027,23.8185088003774,5.71287478994074,5.31855302337923
23,2009,02.105.040/0001-23,Terciário,0.353744802635132,26.9271866890551,25.9273393375057,0.480842619447413,46.6646313539918
24,2009,02.107.946/0001-87,Terciário,0.493436688281743,8.98337664936773,48.8457866441503,21.1989040223955,20.9719326840865
25,2009,02.149.205/0001-69,Terciário,0.495573628596159,41.9439993804609,26.9326574542808,7.19244282609072,23.9309003391676
26,2009,02.162.616/0001-94,Secundário,0.556349578256795,5.85386397136239,59.3282796378185,5.40955990734892,29.4082964834702
27,2009,02.183.757/0001-93,Terciário,0.434788853058863,47.1234932652279,26.770474501323,11.6474784456217,13.8113757396279
28,2009,02.312.604/0001-07,Terciário,0.577382341088888,42.1653258886481,27.2869754741701,17.2807307546315,13.2669678825503
29,2009,02.351.144/0001-18,Terciário,0.337650172404798,28.6669803789363,42.265939041492,11.1592604818527,17.907820097719
30,2009,02.363.917/0001-86,Terciário,0,0.56634059178049,24.1588176504437,11.6660104788152,63.6088312789606
31,2009,02.363.918/0001-20,Terciário,0,12.280701754386,29.1228070175439,22.4561403508772,36.140350877193
32,2009,02.390.206/0001-09,Terciário,0.512138102902907,13.4632575674201,46.8528140457858,21.2408994988008,18.4430288879932
33,2009,02.429.144/0001-93,Secundário,0.482341155999626,6.52036020691781,64.1839356866246,8.65491202473276,20.6407920817249
34,2009,02.465.783/0001-04,Terciário,0,2.28454387899795,22.1679533637939,9.32724121632267,65.3379549393414
35,2009,02.474.103/0001-19,Secundário,0.593055256571938,6.07284497842062,32.4205584239381,12.1587358107154,41.827962022752
36,2009,02.476.710/0001-18,Terciário,0,0.570469798657718,24.1427699816962,11.7480170835876,63.5326418547895
37,2009,02.502.844/0001-66,Terciário,0.618354062986154,3.54798656206035,0.069342572334066,80.256892952091,16.1257779135145
38,2009,02.535.295/0001-26,Terciário,64.804347826087,0,0.0670915800067092,98.7923515598792,1.14055686011406
39,2009,02.541.982/0001-54,Terciário,0.385951963083854,26.8143247722798,32.5338924225468,13.0703630774461,27.5814197277273
40,2009,02.558.074/0001-73,Terciário,0.457004946033891,8.37514110249441,60.3773396525517,22.3007449396672,8.94677430528671
41,2009,02.558.115/0001-21,Terciário,0.412140633020579,6.70778279749188,69.3083596161653,19.0098674634228,4.97399012292002
42,2009,02.558.134/0001-58,Terciário,0.493184491221758,8.96687778802126,48.8656846070065,19.9426365688535,22.2248010361187
43,2009,02.558.154/0001-29,Terciário,0.445555720391656,5.79236887565826,51.264935271662,21.1188906887274,21.8238051639523
44,2009,02.558.157/0001-62,Terciário,0.513682991332018,5.0097247340799,62.1671423903454,10.7112585361679,19.6508635465791
45,2009,02.604.997/0001-14,Terciário,0,0.555283357831128,22.1460068593827,7.92095378082639,65.9154009472481
46,2009,02.762.113/0001-50,Terciário,0.769416543488635,26.6618764890519,29.9716371062285,3.75978519835117,39.6067012063684
