ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2011,Embalagens,1628095,685037,148485,177840,247641,105820
2011,Energia Elétrica,215573101,125437522,14502983,65143898,22264146,22849567
2011,Extração Mineral,142911282,78558443,8186786,13836340,10626403,45908914
2011,Farmacêutico e Higiene,14298403,5761991,1625756,2048121,1308079,780035
2011,Gráficas e Editoras,1796399,976708,338774,281224,202492,154218
2011,Hospedagem e Turismo,333798,113115,69741,29781,53263,-36323
2011,Intermediação Financeira,55437640,17410436,3831571,5335514,608497,7634854
2011,Metalurgia e Siderurgia,143996790.13,51693242.01,14571832.8,10766096.64,14986476.93,8499387.64
2011,Máquinas Equipamentos Veículos e Peças,52278718,19181074,7707038,5369690,3602350,2497715
2011,Papel e Celulose,25303256.14,10416896.23,2275903.95,322425.95,8440492.01,-621925.68
2011,Petroquímicos e Borracha,49506471,7057770,1317237,1815079,4541330,-618594
2011,Petróleo e Gás,433249276,185196865,21890776,105770343,24315606,33128003
2011,Saneamento Serv. Água e Gás,14202378,7702742,2408616,2010262,1574826,1709038
2011,Securitização de Recebíveis,39270,27856,10489,6370,0,10997
2011,Seguradoras e Corretoras,20297108,6687136,1714416,2078994,307468,2586258
2011,Sem Setor Principal,6722406,5011432.39,912382,906165.9,2047113.92,1121339.57
2011,Serviços Médicos,14713179,4724254,1904525,1278625,935764,602477
2011,Serviços Transporte e Logística,76655174.26,33500481.08,8167180.94,8683848.14,13876211.88,3442728.12
2011,Telecomunicações,227176538,113916847.17,13848371,63467748.54,25282079.79,10710527.85
2011,Têxtil e Vestuário,26770548.19,10154831.37,4769545.31,3684995.54,1720628,-267058.48
2012,Agricultura (Açúcar Álcool e Cana),33452037.78,9369504.05,1487909.88,2513791.61,2560370.02,2803780.55
2012,Alimentos,149392177,34157422,15950011,6826458,9868145,1330491
2012,Bancos,395734396,134029686,51641244,33158381,3476088,45156542
2012,Bebidas e Fumo,64990605,43377506,3577070,25730938,1784354,12285144
2012,Bolsas de Valores/Mercadorias e Futuros,2604240,2270566,431902,858136,641347,339179
2012,Brinquedos e Lazer,1068963,256935,79953,162754,64248,-50020
2012,Comunicação e Informática,10401682.89,5716681.43,3657404.29,1205947.45,508355.39,344974.29
2012,Comércio (Atacado e Varejo),136899396.46,38235653.31,12509464.51,10827206.12,10671385.27,4227597.41
2012,Construção Civil Mat. Constr. e Decoração,50142769.64,13959847.47,4531808,4548650.99,4145664.17,823972.31
2012,Crédito Imobiliário,306341,153994,94245,52368,22569,-15686
2012,Educação,5025741.13,3842494.45,1978475.19,609848.69,706943.05,547227.52
2012,Embalagens,2731781,1163152,278237,296285,245629,340070
2012,Energia Elétrica,231955872,94902717,15481302,58222184,18906772,1419710
2012,Extração Mineral,129578025,36564196,9691192,5233162,11559826,10080016
2012,Farmacêutico e Higiene,17608746,6724499,2053097,2349423,1316420,1005559
2012,Gráficas e Editoras,1979913,1129226,403805,334001,195771,195649
2012,Hospedagem e Turismo,1070249,611635,227173,123978,279226,-15254
2012,Intermediação Financeira,55094547,18624784,3954945,6222912,625644,7813114
2012,Metalurgia e Siderurgia,147953834.78,39557880.05,16791715.04,10033018.26,12259383.26,-1539704.51
2012,Máquinas Equipamentos Veículos e Peças,59262702,20648852,9431387,5521206,4428082,1256281
2012,Papel e Celulose,29334394,9436480,2700561,667829,6425078,-356988
2012,Petroquímicos e Borracha,54213448,6904479,1408403,1225548,4988046,-1069669
2012,Petróleo e Gás,486759041,187132425,25216601,106129900,35543378,20242546
2012,Saneamento Serv. Água e Gás,15776500,8473341,2482313,2290363,1290997,2409668
2012,Securitização de Recebíveis,25011,18952,6304,4430,0,8218
2012,Seguradoras e Corretoras,17194131,4923258,1757228,1563990,283738,1318302
2012,Sem Setor Principal,9255182,7413380.43,994810,1528924,2296105.65,2535417.78
2012,Serviços Médicos,17037866,4547907,2140980,1308957,865468,228878
2012,Serviços Transporte e Logística,50983738.69,23263240.53,5908842.86,6278543.87,8273030.27,4291524.53
2012,Telecomunicações,210533070,109612860.53,16458465,59448245,23660630.7,8680577.84
2012,Têxtil e Vestuário,29836159.95,11789368.12,4952864.04,3758920.49,2129901.22,884632.37
2013,Agricultura (Açúcar Álcool e Cana),27549898,9005012,3004881,1808912,4204595,-13376
2013,Alimentos,174741252,44026549,18229561,8261323,15842355,1459774
2013,Bancos,392796572,135250897,54689199,27753487,3908394,48275973
2013,Bebidas e Fumo,69727515,47274225,3747628,27545031,2932202,10837217
