ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2019,Seguradoras e Corretoras,50196029,22449209,3316356,6123879,375371,12602950
2019,Sem Setor Principal,2727246,2073040,409911,451031,1253675,-62085
2019,Serviços Médicos,52228310,22620789,8719832,5033343,4784030,3981408
2019,Serviços Transporte e Logística,130071408,47863281,14757868,12156114,19861447,1117891
2019,Telecomunicações,162088155,77471181,12355320,42882127,20600142,1629385
2019,Têxtil e Vestuário,39853314.51,17555912.18,6728125.67,5268029.44,2600202.09,2843869.98
2020,Agricultura (Açúcar Álcool e Cana),72805332,22538068,4528985,6972081,10197177,148282
2020,Alimentos,434955641,104724271,51112814,13335267,28783632,10965577
2020,Bancos,459103846,164107939,74804865,26362809,823381,62116884
2020,Bebidas e Fumo,90116499,48929098,5446674,26530709,5219806,11731909
2020,Bolsas de Valores/Mercadorias e Futuros,9463675,7850849,919434,2321028,459672,4150715
2020,Brinquedos e Lazer,1815898,366918,400874,122237,709323,-865516
2020,Comunicação e Informática,16347918.29,8889738.2,4471940.53,2361901.95,1264803.47,798731.26
2020,Comércio (Atacado e Varejo),606944882.05,123462488,28233184.86,59722968.72,20822846.05,14514018.37
2020,Construção Civil Mat. Constr. e Decoração,54385427.87,21409264.23,5429199,5888233.53,4103596.54,5967600.16
2020,Crédito Imobiliário,100794,124491,12087,49266,61747,1391
2020,Educação,15413950,3090437,5547240,1051093,3179867,-8561678
2020,Embalagens,1339135,585235,179891,199752,90675,104832
2020,Energia Elétrica,399236971,215662630,19442747,103363347,37957525,46352937
2020,Extração Mineral,239315770,87413662,10640360,15457275,31875534,29443585
2020,Farmacêutico e Higiene,78047218,32335830,13552663,5896859,10080110,2806198
2020,Gráficas e Editoras,2033419,741105,571571,183919,187264,-201649
2020,Hospedagem e Turismo,719181,-63235,534682,-157900,862712,-1299020
2020,Intermediação Financeira,22077033,13671608,2193654,2882649,1086276,7920856
2020,Metalurgia e Siderurgia,174559256.24,49836592,15890240.38,12666871.03,12784460.49,8448922.1
2020,Máquinas Equipamentos Veículos e Peças,94306132,29350028,13773292,7594194,10042669,-2480065
2020,Papel e Celulose,82636125.69,52588965.42,6504234.39,406813.13,69569029.32,-23891111.41
2020,Petroquímicos e Borracha,72897862,11582622,2743089,3687179,11782348,-6629994
2020,Petróleo e Gás,496942671,198127546,24688729,92405903,74216321,6786817
2020,Saneamento Serv. Água e Gás,22056483.73,10032202.42,2113261.21,3162660.35,2430486.87,2325793.98
2020,Securitização de Recebíveis,26614,18012,6952,2669,6072,2319
2020,Seguradoras e Corretoras,46293720,17292667,3274653,4763146,334464,8781293
2020,Sem Setor Principal,9439495,8820244,4847880,2173888,1570014,140110
2020,Serviços Médicos,69962498,33935704,12064842,6580544,11918646,3279312
2020,Serviços Transporte e Logística,102385465.59,35434117.46,12844019.63,9600707.88,27951637.95,-14968247.99
2020,Telecomunicações,146058850,73334205,11459919,33826587,27956358,86512
2020,Têxtil e Vestuário,34945305.9,13245940.79,6264790.79,4448920.82,2670848.85,-140748.67
2021,Agricultura (Açúcar Álcool e Cana),95972005,34575517,5963343,5789895,12574118,4032237
2021,Alimentos,561003120,131364981,58185724,19942424,23807271,29435115
2021,Bancos,579297274,245089767,81266716,69942572,1384531,92120045
2021,Bebidas e Fumo,115264144,55954448,7337800,29095915,5411919,14108814
2021,Bolsas de Valores/Mercadorias e Futuros,10435033,9369760,1070955,2852140,729575,4717089
2021,Brinquedos e Lazer,2413316,714728,492012,174179,882943,-834406
2021,Comunicação e Informática,22639453.57,10776528.23,5517493.09,2371883.93,1527585.93,1366300.27
2021,Comércio (Atacado e Varejo),652647603.33,133494427.98,33426591.05,65977830.4,20779164.26,13282571.27
2021,Construção Civil Mat. Constr. e Decoração,73837399.48,30475972,6878255,6406072,5568736,11535670
2021,Crédito Imobiliário,170427,332727,13768,51831,64937,189904
2021,Educação,20707767.8,13536730.23,6156111.94,1098359.31,3706533.6,-105738.63
2021,Embalagens,2081879,961814,205752,338309,105904,297817
2021,Energia Elétrica,514777002,258710771.99,20235660,126977526.99,46554718.08,53363154.92
2021,Extração Mineral,339158080,178221436,11315166,44146761,-10746990,149146883
2021,Farmacêutico e Higiene,89203262,42683574,16072567,11375352,10161799,5073856
2021,Gráficas e Editoras,2364102,1141841,617855,218252,247817,57917
2021,Hospedagem e Turismo,946660,342479.75,536460.83,45140.2,291694.47,-527028.75
2021,Intermediação Financeira,28394206,21462132,2600943,3407575,1738463,13197889
2021,Metalurgia e Siderurgia,314536646.56,119040033.44,19339646.11,33435369.38,21736797.96,44468708.99
2021,Máquinas Equipamentos Veículos e Peças,126242582,44369417,16091468,12107840,9376454,6138905
2021,Papel e Celulose,120502503,69767020,7956635,4180042,36108105,21522238
2021,Petroquímicos e Borracha,144318812,43875545,3720678,10837873,12117989,17199005
2021,Petróleo e Gás,763136504,421252475,34822323,193500045,80209348,110867345
2021,Saneamento Serv. Água e Gás,34881220,14599937,3699738,3627096,4216436,3056667
2021,Securitização de Recebíveis,29666,14292,8654,8669,2952,-6337
2021,Seguradoras e Corretoras,47614223,16427032,3596745,3251689,522837,7622635
2021,Sem Setor Principal,59853664,16857900,9623876,3530564,1756013,1932118
2021,Serviços Médicos,82388545,37281958,16430880,6777247,10767744,3086960
2021,Serviços Transporte e Logística,130029749.51,54333196.89,16349343.03,13364478.34,28477352.87,-3891935.34
2021,Telecomunicações,156810637,74088935,12474952,32215018,24570681,4819137
2021,Têxtil e Vestuário,43822801.61,17326293.71,7017784.38,4845233.07,3179516.07,2165753.19
2022,Agricultura (Açúcar Álcool e Cana),138130033,44961022,6638042,9510844,19264033,8948795
2022,Alimentos,657936625,144470649,66755427,18999314,40188411,18531483
2022,Bancos,890323907,252537335,90325955,60078357,1340243,100792780
2022,Bebidas e Fumo,130181317,63335048,7878778,31522938,8309350,15623982
2022,Bolsas de Valores/Mercadorias e Futuros,10181334,9748025,1330095,2597420,1593912,2283145
2022,Brinquedos e Lazer,4065816,2032887,649849,333039,1201535,-151536
2022,Comunicação e Informática,27140150.33,13499967.78,6794282.02,3405096.24,2801024.43,506554.09
2022,Comércio (Atacado e Varejo),857536970.57,154830618.35,37928426.3,75952229.25,41768094.39,-1808377.58
2022,Construção Civil Mat. Constr. e Decoração,111182685,42004510,11681128,11626924,11749819,6813319
2022,Crédito Imobiliário,156455,197039,34423,27000,57534,78082
2022,Educação,24480796.82,16827337.72,7315752.63,646406.7,5683179.25,-278495.86
2022,Embalagens,2226789,1166583,234154,352734,172519,391724
2022,Energia Elétrica,507581926,270839997,23188089,123719522,70930915,41106001
2022,Extração Mineral,263393844,125652464,11558925,30787297,-9129534,94168776
2022,Farmacêutico e Higiene,95465528,44721938,16516688,11952238,15606048,646964
2022,Gráficas e Editoras,2387221,1087731,420033,227609,342731,97358
2022,Hospedagem e Turismo,1719558,1020895.29,585252,202710.61,476162.68,-237818
2022,Intermediação Financeira,27794548,26720907,2522366,3930099,4108092,16160350
2022,Metalurgia e Siderurgia,309832638,93890064.14,20980978.6,30029434.83,26811106.6,15782471.11
2022,Máquinas Equipamentos Veículos e Peças,140660694,43800682,17848736,10468503,11552865,3394061
2022,Papel e Celulose,160976815,94247250,9169535,5556271,24282161,55239283
2022,Petroquímicos e Borracha,138497365,24212514,3624166,10222784,9414941,950623
2022,Petróleo e Gás,992244871,506977824,32843978,231004718,47601306,194980678
2022,Saneamento Serv. Água e Gás,53621256,21840512,5395810,5932336,7962814,2549552
2022,Securitização de Recebíveis,21305,29628,16643,7716,1578,3691
2022,Seguradoras e Corretoras,29239808,19204545,3114941,4011695,477843,9879819
2022,Sem Setor Principal,108223339,14955243.06,10458825,2493864.42,2791458.44,-788904.8
2022,Serviços Médicos,107881292,44342792,21192301,6843899,16304713,-97899
2022,Serviços Transporte e Logística,195641301,85453958,20098462,17393251,40019129,7701714
2022,Telecomunicações,194868571,83295917,15647427,42962240,34286544,-9606081
2022,Têxtil e Vestuário,50182033.6,20174804.38,8155533.48,6867052.3,3655132.35,1489828.25
2023,Agricultura (Açúcar Álcool e Cana),118089168,23092318,5466721,3089072,9842830,4438586
2023,Alimentos,642014583,124072094,70290630,16710281,40815043,-4077208
2023,Bancos,969057512,247354203,90645084,59594377,1424608,95690134
2023,Bebidas e Fumo,132875146,66063964,8078191,35082350,6947043,15956380
2023,Bolsas de Valores/Mercadorias e Futuros,10048081,34531455,1391060,2430969,1475104,2541533
2023,Brinquedos e Lazer,5971123,3213299,798713,3387,1323624,1087575
2023,Comunicação e Informática,23302902.9,12290749.83,5819330.21,3042727.05,2632173.27,802515.29
2023,Comércio (Atacado e Varejo),905519088.3,158825154.14,42951158.26,65932748.03,38038756.29,10365959.55
2023,Construção Civil Mat. Constr. e Decoração,114397245,45763802,12229508,12339959,10897255,10251409
2023,Crédito Imobiliário,520102,440523,47272,37382,57189,298680
2023,Educação,29010584.33,20639369.08,7861748.23,2121189.16,5844185.05,178311.64
2023,Embalagens,2229652,1291886,262019,372444,247231,393724
2023,Energia Elétrica,540203485,286684503,23606370,128868088,75934777,48000028
2023,Extração Mineral,248779606,98794130,12039051,29038131,12462339,45254609
2023,Farmacêutico e Higiene,79723597,53759702,12872528,8205019,20363257,12318898
2023,Gráficas e Editoras,2448097,1424275,509849,295366,408439,210621
2023,Hospedagem e Turismo,1812639,937042,497848,108063,666830,-333369
2023,Intermediação Financeira,21946399,26923347,2651538,3605912,4089312,16576585
2023,Metalurgia e Siderurgia,276455392.36,69593825.76,21048357.22,16479505.09,20427316.06,11454023.39
2023,Máquinas Equipamentos Veículos e Peças,147099221,51347385,19998957,9855935,13393419,7937317
2023,Papel e Celulose,135427446,72343467,10269576,4968764,23731883,33373244
2023,Petroquímicos e Borracha,13462947,5260141,1173813,2133143,762320,1190865
2023,Petróleo e Gás,852441774,408646394,39582942,189572939,45050699,134439814
2023,Saneamento Serv. Água e Gás,86782357,42289744,10562879,11218076,12568703,7940086
2023,Securitização de Recebíveis,22974,56991,20617,10289,2564,23521
2023,Seguradoras e Corretoras,29636483,24346177,3612569,6120725,706455,13906428
2023,Sem Setor Principal,135011886.34,19491703.36,11101400,3673335.15,3119473.06,1587395
2023,Serviços Médicos,123489890,53312052,21418120,8097439,20856979,946644
2023,Serviços Transporte e Logística,245627443,99256050,23661914,19415047,52625995,2726849
2023,Telecomunicações,203388600,96335612,15803698,35430835,36320541,8772382
2023,Têxtil e Vestuário,47531015.34,14640568.15,7397470.17,5574144.68,3510846.99,-1845512.69
