ANO,Distribuição,Governo,Outros,Pessoal,RCP,RCT,Receitas,VAB,VALP,VATD
2010,42.1978419621202,41.492863079246895,0.790313935931368,20.0869148853663,23.4814945663569,14.1484135330985,100.0,45.0645929900645,39.1059366259844,42.1978419621202
2011,40.60041531879391,39.0366307329158,0.970461172667847,20.83263465568,21.354218717534,17.8060547212025,100.0,41.4423620514921,36.550688677776094,40.60041531879391
2012,36.3415760296506,40.8546904963578,0.449761934207329,24.8380179950171,14.5106821763679,19.3468473974062,100.0,38.0144954903384,33.1978842397077,36.3415760296506
2013,36.35122780845911,40.6511871316084,1.07784283102694,25.6671179256238,10.1652497005535,22.4386024105077,100.0,39.02576911074689,33.7152854090631,36.35122780845911
2014,34.6162343750024,38.667348109725104,0.418868502630396,26.2308350147015,11.2688184399887,23.4141299329543,100.0,35.5587139629141,30.1484949993788,34.6162343750024
2015,34.6254174970325,33.7104502174359,-0.706846455540541,26.8231996681568,0.793600335073145,39.37959623416231,100.0,33.9923378620295,28.6489937515907,34.6254174970325
2016,37.162184776326896,39.938871743828,-0.073988208198009,24.7240697437042,11.8175200575622,23.5935266631036,100.0,38.415903772237904,32.687792740128,37.162184776326896
2017,39.202496664881,38.417973814942,0.381330843147473,23.9181208317732,13.6225236640081,23.6600508461292,100.0,40.9539069922198,35.1653696910701,39.202496664881
2018,42.66729005001191,35.4652002897884,0.48402271804755,21.1741873130533,20.0704632098766,22.8061264692342,100.0,42.5364524664409,36.983506740614494,42.66729005001191
2019,37.6664198887405,34.6268726363702,2.63905478564351,24.9139296078822,17.5700165553906,20.2501264147135,100.0,40.300504054497,33.147526184621,37.6664198887405
2020,36.0263263628798,32.6652338952649,0.881004985592413,24.7940865098835,12.0794461280678,29.5802284805701,100.0,38.3687040723013,31.4456826427425,36.0263263628798
2021,40.8616828925706,33.9248173166671,0.488569655025389,19.4918692000175,29.0424421479964,17.0523016802935,100.0,43.062894733953904,37.4736081149714,40.8616828925706
2022,36.3837327400665,33.4937617726602,0.914101650446577,20.3213670273475,25.7994314031944,19.4713381463514,100.0,37.66499109436631,32.0778288185355,36.3837327400665
