CNPJ_CIA,SETOR_ATIV,ANO,Distribuição_do_Valor_Adicionado,Impostos_Taxas_e_Contribuições,Outros,Pessoal,Receitas,Remuneração_de_Capitais_de_Terceiros,Remuneração_de_Capitais_Próprios,Valor_Adicionado_Bruto,Valor_Adicionado_Líquido_Produzido,Valor_Adicionado_Total_a_Distribuir,VAB_Receitas,VALP_Receitas,DVA_Receitas,Pessoal_Receitas,Impostos_Receitas,Cap_Terceiros_Receitas,Cap_Proprio_Receitas,Outros_Receitas,Pessoal_DVA,Impostos_DVA,Cap_Terceiros_DVA,Cap_Proprio_DVA,Outros_DVA
61.080.313/0001-91,"Máquinas, Equipamentos, Veículos e Peças",2021,-789,0,0,0,1077,2976452,-2977241,1077,-863,-789,1,-0.801299907149489,-0.732590529247911,0,0,2763.65088207985,-2764.3834726091,0,0,0,-3772.43599493029,3773.43599493029,0
61.080.313/0001-91,"Máquinas, Equipamentos, Veículos e Peças",2022,-1688,0,0,0,407,2772497,-2774185,407,-1533,-1688,1,-3.76658476658477,-4.14742014742015,0,0,6812.03194103194,-6816.17936117936,0,0,0,-1642.47452606635,1643.47452606635,0
84.208.123/0001-02,Serviços Transporte e Logística,2011,-13202,729,0,0,928,2991,-16922,-6016,-15197,-13202,-6.48275862068965,-16.3760775862069,-14.2262931034483,0,0.785560344827586,3.22306034482759,-18.2349137931034,0,0,-0.0552189062263293,-0.22655658233601,1.28177548856234,0
84.208.123/0001-02,Serviços Transporte e Logística,2012,-34013,49,0,0,1028,2794,-36856,-1518,-35153,-34013,-1.47665369649805,-34.1955252918288,-33.0865758754864,0,0.0476653696498054,2.71789883268483,-35.852140077821,0,0,-0.00144062564313645,-0.0821450621821068,1.08358568782524,0
84.208.123/0001-02,Serviços Transporte e Logística,2014,-6206,2,0,0,66,2017,-8225,-1697,-6206,-6206,-25.7121212121212,-94.030303030303,-94.030303030303,0,0.0303030303030303,30.5606060606061,-124.621212121212,0,0,-0.000322268772155978,-0.325008056719304,1.32533032549146,0
23.373.000/0001-32,Serviços Transporte e Logística,2018,462678,159289,7.04500000000002,82.46,1071804,107992,105892,653809,447046,462678,0.610007986534852,0.417096782620703,0.431681538788808,7.69357083944452E-05,0.148617657706073,0.100757228000642,0.0987979145440771,6.57303014357105E-06,0.000178223300005619,0.344276148855143,0.233406386298895,0.228867592580585,1.52265722597574E-05
18.572.225/0001-88,Serviços Transporte e Logística,2016,184149,20641,0,43.47,551842,149653,-29615,201522,182435,184149,0.365180613291486,0.330592814609979,0.333698776098956,7.87725472146013E-05,0.0374038221085021,0.271188129935742,-0.05366572315989,0,0.00023605884365378,0.112088580443011,0.812673432926597,-0.160820857023389,0
88.613.658/0001-10,Têxtil e Vestuário,2020,127604785,16799816,0,82910.79,537961904,23875851,4018328,139898411,110446928,127604785,0.260052635623061,0.205306225550127,0.23720041149977,0.000154120188406501,0.0312286351042434,0.0443820479154226,0.00746954007360343,0,0.000649746716002852,0.13165506293514,0.187107803206596,0.0314904178554119,0
30.540.991/0001-66,Metalurgia e Siderurgia,2016,17396153,5720787,0,7750.78,39655631,654118,3270468,14067424,12442865,17396153,0.354739633319667,0.313772967072444,0.438680524337136,0.000195452191896783,0.144261656055858,0.0164949588117763,0.08247171757272,0,0.000445545632991386,0.328853568947111,0.0376013018510472,0.187999496210455,0
04.065.791/0001-99,Comunicação e Informática,2014,67766175,7860449,0,45258.74,78681617,3563989,11082997,66139801,63405356,67766175,0.840600428941363,0.805847139618394,0.861270746380314,0.000575213648697637,0.0999019758325506,0.0452963365000493,0.140858785350077,0,0.000667866232674339,0.11599369449434,0.0525924474857848,0.163547625345536,0
28.201.130/0001-01,Energia Elétrica,2019,290643,8355,5297,1069,651687,21828,254094,284061,284029,290643,0.43588563221301,0.435836528885799,0.445985572828674,0.00164035802463453,0.0128205718389349,0.0334946070736412,0.389901900759107,0.00812813513235648,0.00367805176797652,0.0287466066617809,0.075102445267906,0.874247788524066,0.0182251077782709
26.735.020/0001-02,Energia Elétrica,2019,143836,39048,0,2749,1621543,7897,94142,141665,134830,143836,0.0873643190467351,0.0831491980169505,0.0887031672918942,0.00169529886040642,0.0240807675158784,0.0048700527830591,0.0580570481325503,0,0.0191120442726438,0.271475847492978,0.0549028059734698,0.654509302260908,0
00.994.533/0001-36,Serviços Transporte e Logística,2011,70544,1216,0,129,75327,76318,-7119,73425,70544,70544,0.974750089609303,0.936503511357149,0.936503511357149,0.00171253335457406,0.0161429500710237,1.01315597328979,-0.0945079453582381,0,0.00182864595146292,0.01723746881379,1.08184962576548,-0.100915740530733,0
02.258.422/0001-97,"Máquinas, Equipamentos, Veículos e Peças",2021,187527,-353,0,401,194780,2686,184793,187870,186930,187527,0.964524078447479,0.959698120956977,0.962763117363179,0.00205873292945888,-0.00181230105760345,0.0137899168292432,0.94872676866208,0,0.00213835874300767,-0.00188239560170002,0.0143232707823407,0.985420766076352,0
08.773.135/0001-00,Energia Elétrica,2019,31006,9905,0,3239,1486314,6105,11757,24261,24077,31006,0.0163229304171259,0.0161991342340851,0.0208610024530483,0.00217921650472242,0.00666413691857844,0.00410747661665032,0.0079101724130971,0,0.104463652196349,0.319454299167903,0.196897374701671,0.379184673934077,0
28.201.130/0001-01,Energia Elétrica,2021,460239,151202,136095,2601,1072592,125213,45128,455303,455151,460239,0.424488528722944,0.424346815937467,0.429090464967108,0.00242496680937393,0.140968793352925,0.116738703999284,0.0420737801512598,0.126884220654266,0.00565141154921682,0.328529307598878,0.272060820573658,0.0980534026886031,0.295705057589644
28.201.130/0001-01,Energia Elétrica,2020,258490,45064,10,1468,544487,36425,175523,256090,256055,258490,0.47033262502135,0.470268344331453,0.474740443757151,0.00269611579339819,0.0827641431292207,0.0668978322714776,0.322363986651656,1.83659113991702E-05,0.00567913652365662,0.174335564238462,0.140914542148632,0.679032070873148,3.86862161012031E-05
26.735.020/0001-02,Energia Elétrica,2020,99160,42783,0,4315,1599077,5510,46552,127398,115531,99160,0.0796697094636468,0.0722485533842335,0.0620107724643654,0.00269843165776257,0.026754809180546,0.00344573775997028,0.0291117938660865,0,0.043515530455829,0.431454215409439,0.0555667607906414,0.46946349334409,0
18.483.666/0001-03,Comércio (Atacado e Varejo),2022,202949,10501,0,11833,3996797,62135,118480,-48980,-62338,202949,-0.012254813041543,-0.0155969892891733,0.0507779104117622,0.00296062071703917,0.00262735385359827,0.0155461986185438,0.029643737222581,0,0.0583052885207614,0.0517420632769809,0.306160661052777,0.583791987149481,0
14.308.514/0001-13,Sem Setor Principal,2015,1153306,364006,0,3675,1137454,11255,774370,1096263,1096198,1153306,0.96378666741688,0.963729522248812,1.01393638775722,0.00323089988694048,0.320018216121267,0.00989490564014017,0.680792366108871,0,0.00318649170298256,0.315619618730849,0.0097589018005629,0.671434987765606,0
00.994.533/0001-36,Serviços Transporte e Logística,2014,44827,3709,0,227,59311,98066,-57175,57926,44827,44827,0.976648513766418,0.755795720861223,0.755795720861223,0.00382728330326584,0.0625347743251673,1.65342010756858,-0.963986444335789,0,0.00506391237423874,0.0827403127579361,2.18765476163919,-1.27545898677137,0
18.483.666/0001-03,Comércio (Atacado e Varejo),2021,58583,22884,0,9771,2200951,16807,9121,58209,57910,58583,0.0264472039586524,0.0263113535921518,0.0266171305040412,0.00443944458554507,0.010397323702345,0.00763624451430314,0.00414411770184797,0,0.166789000221907,0.3906252667156,0.286892101804278,0.155693631258215,0
58.877.812/0001-08,"Construção Civil, Mat. Constr. e Decoração",2010,291234,32645,0,4214,931060,188390,65985,283700,278812,291234,0.304706463600627,0.299456533413529,0.312798315898009,0.00452602410156166,0.0350621871844994,0.202339269220029,0.0708708353919189,0,0.0144694644169293,0.11209199475336,0.646868154130356,0.226570386699355,0
34.274.233/0001-02,Comércio (Atacado e Varejo),2021,32112000,27393000,0,750000,163263000,1472000,2497000,30317000,29758000,32112000,0.185694247931252,0.182270324568335,0.196688778228992,0.00459381488763529,0.167784494955991,0.00901612735279886,0.0152943410325671,0,0.023355754857997,0.853045590433483,0.0458395615346288,0.0777590931738914,0
