ANO,CNPJ_CIA,SETOR_ATIV,Receitas,VAB,VALP,VATD,Distribuição,Pessoal,Governo,RCT,RCP,Outros,Dist_Relat
2020,09.527.023/0001-23,Saneamento Serv. Água e Gás,4375,2518,2474,3149,3149,2486,569,659,-565,0,0.987291501191422
2020,02.762.115/0001-49,Extração Mineral,3795,391,391,16256,16256,386,2393,94525,-81048,0,0.987212276214834
2021,03.802.115/0001-98,Comunicação e Informática,524249,299220,284051,313669,313669,295281,77843,15062,-74517,0,0.986835773009826
2013,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,977574,134363,110867,200189,200189,131369,-35617,123229,-18792,0,0.977717079850852
2020,14.308.514/0001-13,Sem Setor Principal,37436,33528,33521,34558,34558,32759,8144,459,-6804,0,0.977063946552136
2018,08.773.191/0001-36,Energia Elétrica,50814,33075,8889,24814,24814,32235,18344,58477,-84242,0,0.974603174603175
2015,61.065.751/0001-80,Construção Civil Mat. Constr. e Decoração,1234749,142489,111197,162660,162660,137491,79199,497141,-551171,0,0.964923608138172
2023,89.463.822/0001-12,Máquinas Equipamentos Veículos e Peças,195911,43341,36844,201248,201248,41624,25764,81211,52649,0,0.960383932073556
2015,21.255.567/0001-89,Têxtil e Vestuário,414571,79995,69105,81382,81382,76756,-2974,28651,-21051,0,0.959509969373086
2016,08.613.550/0001-98,Construção Civil Mat. Constr. e Decoração,125911,50381,38150,54491,54491,48209,31527,102485,-127730,0,0.956888509557174
2022,22.677.520/0001-76,Têxtil e Vestuário,1813098,414862,308521,460679,460679,396265,245886,487941,-669413,0,0.955173045494646
2022,03.802.115/0001-98,Comunicação e Informática,556161,357431,326696,403523,403523,339544,78638,22402,-37061,0,0.949956774874032
2011,00.924.429/0001-75,Serviços Transporte e Logística,1233175,248217,127164,141984,141984,235546,74386,7248,-175196,0,0.948951925130027
2009,76.627.504/0001-06,Máquinas Equipamentos Veículos e Peças,1385997,328432,300274,741564,741564,311391,146392,347485,-63704,0,0.948114069274614
2012,86.550.951/0001-50,Agricultura (Açúcar Álcool e Cana),51529,22825,15074,16217,16217,21640,-3149,17109,-23035,3652,0.948083242059146
2018,82.636.986/0001-55,Têxtil e Vestuário,201919,55263,49164,73351,73351,52364,14824,131776,-125613,0,0.947541754881204
2010,08.723.106/0001-25,Hospedagem e Turismo,124503,30991,18862,39988,39988,29359,5614,12778,-7763,0,0.947339550191991
2016,62.144.175/0001-20,Bancos,1154069,105207,103170,103170,103170,99099,22793,9792,-28514,0,0.941943026604694
2018,30.540.991/0001-66,Metalurgia e Siderurgia,35110.42,8736.51,7125.04,19929.17,19929.17,8222.27,5012.86,728.45,5965.59,0,0.941138967390869
2010,05.799.312/0001-20,Agricultura (Açúcar Álcool e Cana),450999,28081,16751,30744,30744,26424,9535,17427,-22642,0,0.940992129909903
2017,82.636.986/0001-55,Têxtil e Vestuário,176393,61262,54956,88972,88972,57501,17684,182146,-168359,0,0.938607946198296
2016,42.331.462/0001-31,Sem Setor Principal,235321,29484,27079,79124,79124,27469,8750,40704,2201,0,0.931657848324515
2018,01.971.614/0001-83,Têxtil e Vestuário,1802,959,523,44848,44848,893,3320,11269,29366,0,0.931178310740355
2017,89.723.993/0001-33,Construção Civil Mat. Constr. e Decoração,172800,18724,14155,81724,81724,17417,41417,66772,-43882,0,0.930196539201025
2017,88.611.835/0001-29,Máquinas Equipamentos Veículos e Peças,3136424,798799,753367,1132243,1132243,740716,12163,297252,82112,0,0.927287089743477
2015,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,518398,143807,127177,176830,176830,133058,35599,17131,-8958,0,0.925253986245454
2019,14.807.945/0001-24,Petroquímicos e Borracha,608706,156274,138655,132796,132796,144488,85362,87901,-184955,0,0.924581184330087
2009,76.255.926/0001-90,Alimentos,598627,47606,26573,42190,42190,44011,-47078,34288,10969,0,0.924484308700584
2017,14.807.945/0001-24,Petroquímicos e Borracha,517424,141453,126090,129922,129922,130201,72028,91325,-163632,0,0.920454143779206
2018,61.092.037/0001-81,Construção Civil Mat. Constr. e Decoração,666855,153206,139581,155959,155959,140850,91848,72628,-149367,0,0.919350417085493
2016,33.467.572/0001-34,Metalurgia e Siderurgia,149552,37732,29837,34643,34643,34676,14006,1039,-15078,0,0.919007738789357
2012,78.588.415/0001-15,Alimentos,777103,76183,56928,140974,140974,69963,-60953,118273,13691,0,0.918354488534187
2015,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,1218748,171919,139518,167734,167734,157831,-57217,168524,-101404,0,0.918054432610706
2017,73.178.600/0001-18,Construção Civil Mat. Constr. e Decoração,2645374,261072,194537,538333,538333,239632,141320,167923,-10542,0,0.917877060734204
2015,08.684.547/0001-65,Extração Mineral,3894537,801106,622663,932626,932626,730723,436916,825434,-1060447,0,0.912142712699693
2023,08.764.621/0001-53,Comércio (Atacado e Varejo),182245,25407,23319,402408,402408,23098,-57330,343475,93165,0,0.909119533986697
2023,03.802.115/0001-98,Comunicação e Informática,546361,357977,313603,372216,372216,324311,51098,24812,-28005,0,0.905954851848024
2017,33.467.572/0001-34,Metalurgia e Siderurgia,162926,38998,32508,37524,37524,35305,16124,1031,-14936,0,0.905302836042874
2015,60.500.139/0001-26,Comércio (Atacado e Varejo),1909811,272952,472856,493417,493417,244338,-16089,171454,93714,0,0.895168381253847
2020,04.069.709/0001-02,Comunicação e Informática,98623,56557,53587,57245,57245,50572,7234,2311,-2872,0,0.894177555386601
2023,18.174.270/0001-84,Comunicação e Informática,159519,86774,85666,85666,85666,77555,35762,32852,-60503,0,0.893758499089589
2020,08.769.451/0001-08,Securitização de Recebíveis,20535,5314,4863,10415,10415,4747,793,5299,-424,0,0.893300715092209
2016,43.470.988/0001-65,Construção Civil Mat. Constr. e Decoração,1791327,160283,148398,314792,314792,142699,96022,36179,39892,0,0.890294042412483
2013,92.825.900/0001-96,Máquinas Equipamentos Veículos e Peças,148289,36343,27580,40805,40805,32234,27509,105286,-135763,11539,0.886938337506535
2012,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,519429,142847,121799,150557,150557,126190,35637,13914,-25184,0,0.883392720883183
2010,60.730.348/0001-66,Papel e Celulose,119168,22073,17481,18604,18604,19487,10889,13996,-25768,0,0.882843292710551
2009,13.788.120/0001-47,Petroquímicos e Borracha,712689,53572,29020,49408,49408,47278,615,-664,2179,0,0.882513253191966
2010,11.395.624/0001-71,Farmacêutico e Higiene,175393,25268,19499,25325,25325,22251,21400,12438,-30764,0,0.880599968339402
2015,84.683.671/0001-94,Metalurgia e Siderurgia,198069,72474,62024,63753,63753,63730,37564,33036,-70577,0,0.879349835803185
2016,51.928.174/0001-50,Máquinas Equipamentos Veículos e Peças,441325,192566,150362,152370,152370,169041,81678,153763,-252112,0,0.877834093245952
2015,09.346.601/0001-25,Bolsas de Valores/Mercadorias e Futuros,2458847,516734,405877,3746713,3746713,452155,854189,236911,1242614,960844,0.875024674203749
2023,04.069.709/0001-02,Comunicação e Informática,177457,122291,102279,120669,120669,106969,27010,12741,-26051,0,0.874708686657236
2015,33.386.210/0001-19,Construção Civil Mat. Constr. e Decoração,127259,82742,81748,93059,93059,71968,15437,6606,-10502,9550,0.869788015759832
2019,60.730.348/0001-66,Papel e Celulose,155595,59266,45124,56188,56188,51371,30656,10745,-36584,0,0.866787027975568
2014,36.542.025/0001-64,Comunicação e Informática,452053,400123,394427,393718,393718,346740,37064,8984,930,0,0.866583525565889
2017,19.526.748/0001-50,Têxtil e Vestuário,219923,73363,66143,87359,87359,63104,17021,16971,-9737,0,0.860161116639178
2018,51.928.174/0001-50,Máquinas Equipamentos Veículos e Peças,430587,189814,149466,151673,151673,162632,91947,154630,-257536,0,0.856796653566123
2018,13.444.994/0001-87,Sem Setor Principal,91427,42420,41298,34833,34833,36299,16926,561,-18953,0,0.855704856199906
2020,07.689.002/0001-89,Máquinas Equipamentos Veículos e Peças,20603337,2861500,1337934,1517573,1517573,2435005,862066,1816735,-3596233,0,0.850954045081251
2009,22.266.175/0001-88,Petroquímicos e Borracha,3270630,99467,62081,775771,775771,84625,66176,563298,61672,0,0.850784682356963
2017,04.032.433/0001-80,Comunicação e Informática,1886899,1619595,1531404,1899027,1899027,1376557,555161,353692,-386383,0,0.849939027966868
2012,00.924.429/0001-75,Serviços Transporte e Logística,1338005,291286,125026,136798,136798,247115,41940,10894,-163151,0,0.84835865781397
2018,90.076.886/0001-40,Alimentos,211475,104778,98762,119593,119593,88870,20658,77092,-67027,0,0.848174235049342
2023,60.770.336/0001-65,Bancos,3274992,182888,180824,180824,180824,154148,9471,10032,7173,0,0.842854643278947
2021,86.550.951/0001-50,Agricultura (Açúcar Álcool e Cana),17095,7966,7036,21486,21486,6700,464,14034,288,0,0.841074566909365
2011,82.636.986/0001-55,Têxtil e Vestuário,351558,100220,91989,95071,95071,83915,57476,148325,-194645,0,0.837307922570345
2016,36.542.025/0001-64,Comunicação e Informática,389441,358590,352560,356068,356068,300137,51869,8283,-4221,0,0.836992107978471
2016,05.799.312/0001-20,Agricultura (Açúcar Álcool e Cana),895482,117837,76627,119202,119202,98579,18267,150434,-148078,0,0.836570856352419
2014,08.741.499/0001-08,Serviços Transporte e Logística,466562,65684,57907,157639,157639,54903,31461,118906,-47631,0,0.835865659825833
2012,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,858947,143744,122154,250927,250927,120099,-9677,126825,13680,0,0.835506177649154
2009,01.938.783/0001-11,Sem Setor Principal,184545,105833,97222,135676,135676,88393,32316,7751,7216,0,0.835212079408124
2019,89.463.822/0001-12,Máquinas Equipamentos Veículos e Peças,217102,64551,53569,123694,123694,53791,15606,80475,-26178,0,0.83331009589317
2017,92.781.335/0001-02,Máquinas Equipamentos Veículos e Peças,956852,213081,176029,182714,182714,176979,180694,111069,-286028,0,0.830571472820195
2019,19.526.748/0001-50,Têxtil e Vestuário,230312,64253,57794,99268,99268,53348,15071,22491,8358,0,0.830280298196193
2023,04.032.433/0001-80,Comunicação e Informática,353566,297937,197562,814518,814518,246764,-57625,35426,589953,0,0.828242212279777
2009,61.022.042/0001-18,Construção Civil Mat. Constr. e Decoração,10637,3424,3379,8628,8628,2822,863,5836,-893,0,0.824182242990654
2015,33.039.223/0001-11,Construção Civil Mat. Constr. e Decoração,467942,69156,49319,95043,95043,56938,40256,404905,-407056,0,0.823326970906357
2015,04.031.960/0001-70,Sem Setor Principal,96290,17284,14228,681128,681128,14190,7349,618985,40604,0,0.820990511455682
2009,13.608.583/0001-80,Petroquímicos e Borracha,217544,29885,26854,30384,30384,24528,10759,3155,-8058,0,0.82074619374268
2010,16.234.171/0001-15,Petroquímicos e Borracha,138731,17900,11256,12695,12695,14666,7263,7383,-16617,0,0.819329608938547
2015,09.462.140/0001-56,Sem Setor Principal,78095,15357,6189,8892,8892,12579,9408,10815,-23910,0,0.819105294002735
2014,00.336.701/0001-04,Telecomunicações,157891,44471,2656,56962,56962,36411,15368,122541,-117358,0,0.818758291920578
2014,92.929.520/0001-00,Máquinas Equipamentos Veículos e Peças,33372,33372,27745,30376,30376,27203,16810,9214,-22851,0,0.815144432458348
2015,36.542.025/0001-64,Comunicação e Informática,463239,412435,406772,409581,409581,335909,55805,11392,6475,0,0.814453186562731
2017,36.542.025/0001-64,Comunicação e Informática,343775,316834,312317,315885,315885,258045,48477,7275,2088,0,0.814448575594791
2015,04.752.991/0001-10,Farmacêutico e Higiene,31531,14345,14003,78371,78371,11676,10019,48394,8282,0,0.813942140118508
2014,76.255.926/0001-90,Alimentos,530096,90353,73433,198775,198775,73436,-26182,181009,-29488,0,0.812767700021029
2020,04.032.433/0001-80,Comunicação e Informática,1075965,882581,759886,770295,770295,716381,139236,109598,-194920,0,0.811688672201192
2018,42.331.462/0001-31,Sem Setor Principal,414811,40156,38436,41436,41436,32581,6667,12185,-9997,0,0.811360693296145
2013,07.820.907/0001-46,Construção Civil Mat. Constr. e Decoração,114855,9110,8786,14018,14018,7371,-1326,16749,-8776,0,0.809110867178924
2018,73.178.600/0001-18,Construção Civil Mat. Constr. e Decoração,3027501,247885,213307,511151,511151,200532,153703,150888,6028,0,0.808971902293402
2018,04.032.433/0001-80,Comunicação e Informática,1509340,1294510,1227877,1293277,1293277,1046727,281966,188019,-223435,0,0.80858935041058
2020,15.144.017/0001-90,Seguradoras e Corretoras,2606,11567,10954,70669,70669,9312,2403,7914,51040,0,0.805048845854586
2018,03.818.379/0001-30,Educação,619892,286394,245735,351358,351358,230321,-43479,284098,-119582,0,0.804210283734995
2010,09.191.251/0001-75,Sem Setor Principal,766102,59855,21876,36542,36542,48110,38687,46719,-96974,0,0.803775791496116
2011,08.493.364/0001-62,Agricultura (Açúcar Álcool e Cana),148295,43492,25470,30428,30428,34955,26827,20805,-52159,0,0.803711027315368
2022,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,149123,33532,30433,12454,12454,26942,-97373,17195,65690,0,0.80347131098652
2015,88.611.835/0001-29,Máquinas Equipamentos Veículos e Peças,3028181,918144,871707,1353884,1353884,737381,8827,518593,89083,0,0.803121296877178
2015,09.601.322/0001-60,Telecomunicações,3443902,3054947,2854257,2940321,2940321,2451783,265663,450676,-227801,0,0.802561550167646
2015,04.032.433/0001-80,Comunicação e Informática,3443903,3055406,2854715,2940438,2940438,2450906,265634,450676,-226778,0,0.802153952698921
2017,02.762.115/0001-49,Extração Mineral,17085,9392,8956,52220,52220,7532,14529,57958,-27799,0,0.801959114139693
2016,14.807.945/0001-24,Petroquímicos e Borracha,468261,146964,129881,135001,135001,117731,64151,94021,-140902,0,0.801087341117553
2022,16.838.421/0001-26,Sem Setor Principal,95648105,4912879,4713016,4703205,4703205,3933024,485298,321425,-36542,0,0.800553809690815
2010,02.800.026/0001-40,Educação,586363,410000,374613,398815,398815,327915,21114,79409,-29623,0,0.799792682926829
2018,19.526.748/0001-50,Têxtil e Vestuário,216348,75591,69214,100917,100917,60275,14001,29388,-2747,0,0.797383286370071
2020,14.807.945/0001-24,Petroquímicos e Borracha,670373,188726,170673,172803,172803,149465,81656,82249,-140567,0,0.791968250267584
2021,61.022.042/0001-18,Construção Civil Mat. Constr. e Decoração,76288,27160,26890,40207,40207,21509,4677,6554,7467,0,0.791936671575847
2017,30.540.991/0001-66,Metalurgia e Siderurgia,37590.23,10099.44,8438.85,12340.26,12340.26,7996.98,5067.95,681.01,-1405.68,0,0.791824101138281
2015,92.690.783/0001-09,Metalurgia e Siderurgia,46921789,7795924,5188003,5581539,5581539,6150019,886003,3770312,0,-5224795,0.788876212749124
2018,08.078.847/0001-09,Construção Civil Mat. Constr. e Decoração,120353,55579,38192,43109,43109,43792,18275,28255,-47213,0,0.787923496284568
2016,29.978.814/0001-87,Seguradoras e Corretoras,16989977,793274,739127,2558286,2558286,624795,972688,262382,698421,0,0.787615628395737
2014,61.024.352/0001-71,Bancos,837141,128549,119366,128522,128522,101181,23944,8552,-5155,0,0.787100638666967
2013,71.476.527/0001-35,Construção Civil Mat. Constr. e Decoração,894573,136360,124834,221058,221058,107303,105894,98787,-90926,0,0.786909650924025
2013,61.565.222/0001-46,Têxtil e Vestuário,191.42,56.7,36.23,37.95,37.95,44.58,13.19,22.03,-41.85,0,0.786243386243386
2013,08.648.295/0001-19,Sem Setor Principal,314288,291453,289339,292522,292522,229071,58835,13256,-8640,0,0.785962059062696
2011,50.926.955/0001-42,Têxtil e Vestuário,1758986,793553,686214,744684,744684,623051,314963,122659,-315989,0,0.785141005074645
2011,01.938.783/0001-11,Sem Setor Principal,210070,121842,114198,150754,150754,95647,40408,16317,-1618,0,0.785008453571018
2019,10.851.805/0001-00,Comunicação e Informática,574467,474760,436723,438023,438023,372548,47752,36747,-19024,0,0.784708063021316
2019,04.065.791/0001-99,Comunicação e Informática,196736,169315,153941,160000,160000,132812,18460,13307,-4579,0,0.784407760682751
2021,33.041.260/0652-90,Comércio (Atacado e Varejo),35558000,6199000,5206000,5554000,5554000,4849000,-596000,1598000,-297000,0,0.782222939183739
2014,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,543065,131399,112752,136630,136630,102437,20217,6584,7392,0,0.779587363678567
2012,33.035.536/0001-00,Construção Civil Mat. Constr. e Decoração,681455,76226,75212,111121,111121,59368,6649,19151,25953,0,0.778841864980453
2015,14.807.945/0001-24,Petroquímicos e Borracha,548098,164726,146484,150152,150152,128275,68335,92739,-139197,0,0.778717385233661
2017,33.386.210/0001-19,Construção Civil Mat. Constr. e Decoração,57911,37121,36623,42850,42850,28900,7733,4740,3205,-1728,0.778535061016675
2015,33.611.500/0001-19,Metalurgia e Siderurgia,46922332,7911534,5303625,5665184,5665184,6153245,850627,3513798,0,-4852486,0.777756248029775
2021,04.032.433/0001-80,Comunicação e Informática,1180899,1032295,922640,930219,930219,802861,164909,98728,-136279,0,0.777743765105905
2010,08.648.295/0001-19,Sem Setor Principal,339301,296244,293693,295801,295801,230400,72319,14036,-20954,0,0.777737270628266
2021,08.769.451/0001-08,Securitização de Recebíveis,25836,10109,9569,12954,12954,7861,8478,2952,-6337,0,0.777623899495499
2015,03.601.314/0001-38,Sem Setor Principal,96290,18251,17042,591728,591728,14190,6493,396303,174742,0,0.777491644293463
2022,82.640.558/0001-04,Têxtil e Vestuário,736820,232539,216501,240960,240960,180666,141320,-59880,-21146,0,0.776927741153097
2009,78.588.415/0001-15,Alimentos,466178,67671,54666,119317,119317,52482,-18497,76050,9282,0,0.775546393580707
2014,02.105.040/0001-23,Securitização de Recebíveis,16656,11411,11142,16641,16641,8826,2830,0,4985,0,0.773464201209359
2018,02.105.040/0001-23,Securitização de Recebíveis,12762,8729,8291,10532,10532,6720,1789,0,2023,0,0.769847634322374
2011,08.648.295/0001-19,Sem Setor Principal,327216,286480,282780,288771,288771,220193,64793,21043,-17258,0,0.768615610164758
2016,10.851.805/0001-00,Comunicação e Informática,545522,449299,430124,431627,431627,344985,53158,25945,7539,0,0.767829440973606
2021,02.105.040/0001-23,Securitização de Recebíveis,3830,1035,972,1338,1338,793,191,0,0,354,0.766183574879227
2015,91.983.056/0001-69,Metalurgia e Siderurgia,819910,159918,134801,174489,174489,122453,-2213,45770,2690,5789,0.765723683387736
2014,07.628.528/0001-59,Agricultura (Açúcar Álcool e Cana),158664,22856,1425,40772,40772,17501,-5676,42309,-13362,0,0.765707035351768
2013,01.938.783/0001-11,Sem Setor Principal,245774,144013,136799,156278,156278,110230,41720,15617,-11289,0,0.765417010964288
2017,10.851.805/0001-00,Comunicação e Informática,578126,469359,446218,447536,447536,359228,46130,32168,10010,0,0.765358712627221
2009,67.571.414/0001-41,Construção Civil Mat. Constr. e Decoração,511458,66786,65054,113781,113781,51091,11366,38351,12973,0,0.764995657772587
2018,10.851.805/0001-00,Comunicação e Informática,586830,487436,462262,464224,464224,372634,53821,41500,-3731,0,0.764477798110932
2014,84.683.671/0001-94,Metalurgia e Siderurgia,261076,90030,79468,82447,82447,68695,38192,16860,-41300,0,0.763023436632234
2021,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,2403930,354263,287405,326335,326335,270069,-113229,225541,-56046,0,0.762340408114875
2022,10.139.870/0001-08,Comunicação e Informática,289365,227542,199105,226017,226017,173411,14206,25285,13115,0,0.762105457454009
2022,13.444.994/0001-87,Sem Setor Principal,242342,120381,94423,104096,104096,91710,53874,32777,-74265,0,0.761831185984499
2020,10.851.805/0001-00,Comunicação e Informática,553561,463059,420186,422441,422441,352594,46356,47122,-23631,0,0.761445085831395
2012,82.641.325/0001-18,Têxtil e Vestuário,778341,104775,78443,94478,94478,79664,-22225,41785,-4746,0,0.760334049152947
2016,56.720.428/0001-63,Máquinas Equipamentos Veículos e Peças,635315,276692,242307,238524,238524,210104,44939,22950,-39469,0,0.759342518034493
2011,07.401.436/0001-31,Papel e Celulose,66.14,48.73,48.19,48.23,48.23,36.95,8.95,2.01,0.32,0,0.758259798891853
2010,02.302.101/0001-42,Energia Elétrica,182155,115571,86746,87208,87208,87546,63200,-77512,13974,0,0.757508371477274
2017,18.593.815/0001-97,Construção Civil Mat. Constr. e Decoração,258968,204718,192514,197539,197539,154910,37289,12727,-7387,0,0.756699459744624
2012,07.700.557/0001-84,Construção Civil Mat. Constr. e Decoração,3358046,124641,72560,153782,153782,94075,198883,248828,-388004,0,0.754767692813761
2020,19.526.748/0001-50,Têxtil e Vestuário,169760,49427,43190,60577,60577,37252,10498,17101,-4274,0,0.753677140024683
2011,22.770.366/0001-82,Máquinas Equipamentos Veículos e Peças,114116,15098,14056,19135,19135,11378,7967,6904,-7114,0,0.753609749635713
2022,45.987.245/0001-92,Educação,414364,282236,244272,247936,247936,212273,84477,65254,-114068,0,0.752111707932369
2013,76.627.504/0001-06,Máquinas Equipamentos Veículos e Peças,1137840,511626,490335,630591,630591,384727,100245,337351,-191732,0,0.751969211885244
2023,33.041.260/0652-90,Comércio (Atacado e Varejo),33255000,5252000,4113000,4539000,4539000,3946000,-300000,3518000,-2625000,0,0.751332825590251
2014,11.721.921/0001-60,Seguradoras e Corretoras,243970,135211,124058,162272,162272,101524,35396,9224,16128,0,0.750856069402637
2014,08.648.295/0001-19,Sem Setor Principal,323281,292690,290379,294035,294035,219737,60348,9795,4155,0,0.750749940209778
2020,17.314.329/0001-20,Alimentos,1254529,508097,1779,9088,9088,381444,-99013,200235,-473578,0,0.750730667569381
2012,01.938.783/0001-11,Sem Setor Principal,222071,134890,128209,159432,159432,101162,39630,15144,3496,0,0.749959226036029
2020,18.593.815/0001-97,Construção Civil Mat. Constr. e Decoração,266513,210809,189166,203115,203115,158012,30438,17761,-3096,0,0.749550541011057
2021,10.851.805/0001-00,Comunicação e Informática,597976,512871,470294,471302,471302,384032,84240,47819,-44789,0,0.748788681754281
2021,35.727.157/0001-06,Construção Civil Mat. Constr. e Decoração,23230,12475,12475,21587,21587,9305,8283,240,3759,0,0.745891783567134
2010,01.938.783/0001-11,Sem Setor Principal,214426,123889,115854,176656,176656,92279,44554,11492,28331,0,0.744852246769285
2019,45.987.245/0001-92,Educação,58187,48991,41883,45519,45519,36480,11426,7046,-9433,0,0.744626564062787
2023,10.139.870/0001-08,Comunicação e Informática,310362,234380,210540,232386,232386,174465,43582,13320,1019,0,0.74436812014677
2013,67.620.377/0001-14,Alimentos,5547460,479188,421471,472707,472707,356097,-115329,546224,-314285,0,0.743125871265558
2018,36.542.025/0001-64,Comunicação e Informática,397527,367991,363935,366826,366826,272686,64605,5507,24028,0,0.7410126878103
2018,61.374.161/0001-30,Metalurgia e Siderurgia,133520,51390,48707,56497,56497,38027,7396,8320,2754,0,0.739968865538042
2016,88.611.835/0001-29,Máquinas Equipamentos Veículos e Peças,3000735,905893,856202,1527747,1527747,668766,103406,533029,222546,0,0.738239505107115
2014,90.076.886/0001-40,Alimentos,202263,89775,82560,126873,126873,66165,18113,44750,-2155,0,0.737009189640769
2019,36.542.025/0001-64,Comunicação e Informática,465843,437744,431749,435195,435195,322177,78662,4512,29844,0,0.73599409700647
2020,51.928.174/0001-50,Máquinas Equipamentos Veículos e Peças,447929,213422,152205,173544,173544,157043,80449,53065,-117013,0,0.735833231813028
2018,04.065.791/0001-99,Comunicação e Informática,159050,139465,132266,134239,134239,102592,19587,9334,2726,0,0.735611085218514
2015,51.928.174/0001-50,Máquinas Equipamentos Veículos e Peças,616893,246384,202430,209789,209789,181198,118657,108499,-198565,0,0.73542924865251
2021,29.978.814/0001-87,Seguradoras e Corretoras,20868489,975458,828717,1485924,1485924,716266,162516,274448,332694,0,0.734286868322368
2019,30.540.991/0001-66,Metalurgia e Siderurgia,36190.81,11054.1,9398.8,17486.29,17486.29,8116.62,6040.11,825.31,2504.24,0,0.734263305018048
2022,00.080.671/0001-00,Alimentos,9122683,387976,319572,1805457,1805457,284734,-330235,1502214,348744,0,0.733895911087284
2018,08.613.550/0001-98,Construção Civil Mat. Constr. e Decoração,126602,61204,36546,44344,44344,44868,29098,38752,-68374,0,0.733089340565976
2012,08.648.295/0001-19,Sem Setor Principal,313458,283790,280769,283999,283999,207700,57063,17182,2054,0,0.731879206455478
2020,61.022.042/0001-18,Construção Civil Mat. Constr. e Decoração,31345,12328,12060,14962,14962,9020,2181,1818,1943,0,0.731667748215445
2013,14.308.514/0001-13,Sem Setor Principal,35478,3168,3106,80120,80120,2317,1666,11212,64925,0,0.731376262626263
2020,04.065.791/0001-99,Comunicação e Informática,235832,210423,187341,197069,197069,153658,28210,10242,4959,0,0.730233862267908
2014,09.601.322/0001-60,Telecomunicações,3724720,3357855,3184396,3249410,3249410,2451298,377046,325640,95426,0,0.730019015115304
2014,04.032.433/0001-80,Comunicação e Informática,3724720,3358475,3185016,3249489,3249489,2450517,376889,325437,96646,0,0.729651702037383
2019,51.928.174/0001-50,Máquinas Equipamentos Veículos e Peças,488730,225085,164534,335189,335189,163537,83175,95302,-6825,0,0.726556634160428
2011,07.718.269/0001-57,Têxtil e Vestuário,2040301,501860,401393,453881,453881,363891,287067,210089,-407166,0,0.725084684971905
2021,71.476.527/0001-35,Construção Civil Mat. Constr. e Decoração,2576709,313395,268843,301389,301389,227046,136768,134164,-196589,0,0.724472311300436
2010,15.144.017/0001-90,Seguradoras e Corretoras,71535,18288,17261,57634,57634,13238,6286,14653,23457,0,0.723862642169729
2011,61.351.532/0001-68,Construção Civil Mat. Constr. e Decoração,203069,96987,93016,98378,98378,70053,14964,5280,8080,1,0.722292678400198
2020,36.542.025/0001-64,Comunicação e Informática,572450,542229,535698,538755,538755,391614,96247,6325,44569,0,0.722229906552398
2022,88.611.835/0001-29,Máquinas Equipamentos Veículos e Peças,6169106,1122511,1002703,1618883,1618883,810214,-151151,523018,436802,0,0.721787136161695
2013,09.601.322/0001-60,Telecomunicações,3925473,3447511,3240335,3286397,3286397,2487688,388738,310249,99722,0,0.721589575783805
2013,04.032.433/0001-80,Comunicação e Informática,3925473,3448797,3241621,3287249,3287249,2486766,388539,308324,103620,0,0.721053167234836
2015,62.002.886/0001-60,Hospedagem e Turismo,216554,95251,87954,94025,94025,68656,37912,1226,-13769,0,0.720790332909891
2011,61.565.222/0001-46,Têxtil e Vestuário,267095,91929,71603,74899,74899,66197,18653,23394,-33345,0,0.720088329036539
2011,86.550.951/0001-50,Agricultura (Açúcar Álcool e Cana),57889,27693,19251,21496,21496,19924,710,19245,-21599,3216,0.719459791282996
2018,18.593.815/0001-97,Construção Civil Mat. Constr. e Decoração,360619,294859,280177,294542,294542,212070,58457,18875,5140,0,0.719225121159605
2017,04.065.791/0001-99,Comunicação e Informática,152306,140546,133734,135474,135474,101009,19685,7316,7464,0,0.718689966274387
2016,04.065.791/0001-99,Comunicação e Informática,95811,84245,81556,88467,88467,60419,14277,5489,8282,0,0.717182028607039
2019,07.689.002/0001-89,Máquinas Equipamentos Veículos e Peças,23607018,4426059,3603471,4055299,4055299,3173059,1215873,960453,-1294086,0,0.7169039093243
2010,90.076.886/0001-40,Alimentos,129043,61171,54610,65684,65684,43849,21529,30668,-30362,0,0.716826600840267
2016,33.386.210/0001-19,Construção Civil Mat. Constr. e Decoração,97390,61144,60230,67352,67352,43814,12997,11234,-5539,4846,0.716570718304331
2019,35.791.391/0001-94,Comunicação e Informática,143729.11,108446.96,106889.48,108683.51,108683.51,77708.36,21939.57,6834.7,2200.88,0,0.716556370044859
2015,04.065.791/0001-99,Comunicação e Informática,83523.76,71609.26,67158.53,73251.51,73251.51,51303.36,7754.67,4393.75,9799.73,0,0.716434718079757
2022,04.986.320/0001-13,Educação,1621773,929122,714804,843945,843945,665232,68326,332535,-222148,0,0.715979171734175
2009,89.723.993/0001-33,Construção Civil Mat. Constr. e Decoração,129861,24850,15794,92140,92140,17787,5554,55478,13321,0,0.715774647887324
