ANO,CNPJ_CIA,SETOR_ATIV,Receitas,VAB,VALP,VATD,Distribuição,Pessoal,Governo,RCT,RCP,Outros,Dist_Relat
2011,07.816.890/0001-53,Construção Civil Mat. Constr. e Decoração,762772,588262,527881,617221,617221,49927,199260,59115,308919,0,0.0848720468090749
2013,61.082.004/0001-50,Brinquedos e Lazer,238360,107439,78769,40463,40463,9096,61684,46994,-77311,0,0.0846619942478988
2010,07.816.890/0001-53,Construção Civil Mat. Constr. e Decoração,666826,468196,423583,509196,509196,39522,190319,50357,228998,0,0.0844133653427197
2017,42.150.391/0001-70,Petroquímicos e Borracha,58000752,16853675,13924820,14577347,14577347,1421214,4232072,4790740,4124445,8876,0.0843266527923435
2022,00.389.481/0001-79,Serviços Transporte e Logística,1338578,707527,563563,940418,940418,59551,85791,654179,140897,0,0.0841678126771134
2015,03.014.553/0001-91,Serviços Transporte e Logística,2901869,1430917,1186087,1256814,1256814,120314,222834,671300,242366,0,0.0840817461809455
2013,02.107.946/0001-87,Telecomunicações,40165937,24203470,17432107,18810153,18810153,2034185,9803907,6797022,175039,0,0.0840451802985274
2015,07.526.557/0001-00,Bebidas e Fumo,71276318,45022210,42058747,43047391,43047391,3772775,22765476,3629998,12879142,0,0.0837980854338337
2013,76.535.764/0001-43,Telecomunicações,40170159,24211432,18908064,20265531,20265531,2025448,10283283,6463785,1493015,0,0.0836566792084004
2014,06.082.980/0001-03,Comércio (Atacado e Varejo),742579,501621,429466,531690,531690,41942,62866,239601,187281,0,0.0836129268910193
2012,01.917.818/0001-36,Energia Elétrica,670479,467589,404102,417477,417477,39074,113245,131452,133706,0,0.0835648400625336
2018,61.584.140/0001-49,Energia Elétrica,15203349,7038282,6427106,6771746,6771746,587988,4828010,778156,557614,19978,0.0835414096792371
2015,08.801.621/0001-86,Construção Civil Mat. Constr. e Decoração,408533,284034,258085,369719,369719,23629,52306,241546,52238,0,0.0831907447699923
2017,17.155.730/0001-64,Energia Elétrica,32667655,15348179,14498411,15049884,15049884,1274097,10800655,1973536,1001596,0,0.0830129098702849
2019,08.902.291/0001-15,Extração Mineral,11708844,6767043,6269808,6338139,6338139,561216,1989510,123150,3664263,0,0.082933712701397
2017,01.083.200/0001-18,Energia Elétrica,29352462,12130457,11141168,13866078,13866078,1004560,8191660,4218329,144885,306644,0.0828130382886646
2019,05.730.375/0001-20,Comércio (Atacado e Varejo),1153435,982769,955900,1081355,1081355,81367,373071,192,626725,0,0.0827936168112751
